Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,Current iteration,Current Algorithm,Gen/Epoch#,Indv #,X,Y
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,34,-9.725999999999999,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,35,4.129300000000001,24.50960282183705
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,36,1.4022000000000006,1.1789443165959153
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,37,-1.7690000000000001,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,38,-1.8030000000000008,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,39,-2.8086,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,40,4.331899999999999,31.559648125887446
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,41,-9.7295,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,42,-8.7715,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,43,-7.8039000000000005,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,44,-9.7274,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,45,0.1252999999999993,1.069719226761213
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,46,-0.8565000000000005,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,47,5.283899999999999,72.93056615962631
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,48,1.3026,1.3480350713553721
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,49,3.303699999999999,11.412379357564209
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,0,1.3026,1.3480350713553721
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,1,0.2797999999999998,1.095771102333929
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,2,1.3793000000000006,0.7621497387730272
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,3,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,4,-9.7258,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,5,-0.9248999999999992,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,6,1.3034999999999997,1.3292430949575087
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,7,-1.8019999999999996,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,8,-7.8086,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,9,1.3025000000000002,1.350126915167234
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,10,5.0243,56.77139771647724
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,11,2.196999999999999,4.339096253345671
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,12,0.1960999999999995,1.1090621291734686
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,13,2.3078000000000003,3.610729958313187
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,14,0.08530000000000015,1.0435467360351125
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,15,1.0747,0.11971806309271649
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,16,-2.8868,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,17,1.0751000000000008,0.12106814086317885
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,18,1.0646000000000004,0.10445748779300734,bestInCurrentpop
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,19,1.3820999999999994,0.7990277096495043
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,20,2.3132,3.6771785970373907
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,21,2.3498,5.089420582566968
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,22,4.3314,31.551711826588786
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,23,-9.7206,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,24,-1.7690000000000001,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,25,-8.7703,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,26,0.40220000000000056,0.7772607988047588
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,27,1.2957999999999998,1.491303709102481
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,28,2.3764000000000003,5.925600052602295
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,29,1.0678,0.10539860883666508
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,30,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,31,1.3046000000000006,1.3063693773196554
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,32,1.3026,1.3480350713553721
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,33,-7.9249,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,34,0.07199999999999918,1.0352515574991243
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,35,1.3051999999999992,1.2939420336944285
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,36,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,37,-7.7974,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,38,1.3026,1.3480350713553721
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,39,1.0934000000000008,0.24384802489433433
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,40,-4.9407,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,41,-0.9535,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,42,-2.8122999999999996,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,43,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,44,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,45,1.2769999999999992,1.8734210524762311
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,46,-9.7201,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,47,-1.9248999999999992,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,48,-7.6948,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,2,GA,2,49,-8.7438,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,0,1.3046000000000006,1.3063693773196554
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,1,-0.9248999999999992,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,2,1.3046000000000006,1.3063693773196554
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,3,1.2997999999999994,1.4068392370407619
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,4,2.3279999999999994,4.100976780370882
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,5,1.3925,0.9722201680074712
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,6,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,7,1.0572,0.11576679300815174
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,8,0.08530000000000015,1.0435467360351125
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,9,0.2798999999999996,1.0956835771760578
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,10,1.1013000000000002,0.3327653733115581
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,11,2.196999999999999,4.339096253345671
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,12,0.2797999999999998,1.095771102333929
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,13,-0.9535,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,14,-1.6502,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,15,1.3031000000000006,1.3375871414722051
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,16,1.0747999999999998,0.12005021728573151
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,17,-2.9257999999999997,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,18,1.0751000000000008,0.12106814086317885
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,19,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,20,1.3793000000000006,0.7621497387730272
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,21,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,22,0.2021999999999995,1.1111292276538514
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,23,2.1976999999999993,4.369360683264468
